                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4568,                 4.6051,                  3.887,                0.09509,                0.05049,                0.02088,                0.00738,                 2.9194,                 4.0179,                 3.3457,             0.00041443,             0.00041443,             0.00041443
                      2,                 2.7449,                  3.635,                 2.9078,                0.17182,                0.19053,                0.11197,                0.03931,                 2.3517,                 2.8506,                 2.5012,             0.00082287,             0.00082287,             0.00082287
                      3,                 2.3925,                 3.0518,                 2.4804,                0.23845,                0.22147,                0.15018,                0.06141,                  2.226,                 2.6895,                 2.3427,              0.0012231,              0.0012231,              0.0012231
                      4,                 2.1808,                 2.6451,                 2.2634,                0.32928,                0.35426,                0.23909,                0.10975,                 2.0013,                 2.4242,                 2.0809,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.0346,                 2.3976,                 2.1067,                0.43916,                0.34754,                0.31159,                0.13435,                 1.9467,                 2.4897,                 2.0295,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.9457,                 2.2463,                 2.0113,                 0.4892,                0.49541,                0.38656,                0.17278,                 1.8466,                 2.1008,                 1.8892,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.8971,                  2.139,                 1.9207,                0.49106,                0.48426,                0.40891,                0.19476,                 1.7825,                 1.9168,                 1.8285,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.8311,                 2.0259,                 1.8556,                0.49086,                0.57407,                0.47746,                 0.2208,                 1.7098,                 1.9583,                 1.7431,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.7876,                 1.9686,                 1.8367,                0.51718,                0.56999,                0.52207,                0.24108,                 1.7308,                  1.726,                  1.765,               0.001151,               0.001151,               0.001151
                     10,                 1.7353,                 1.8769,                 1.7652,                0.60593,                0.53861,                0.53844,                0.26058,                 1.7003,                  1.659,                 1.7547,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.7184,                 1.7892,                 1.7461,                0.62257,                0.59658,                0.61629,                0.29787,                 1.6425,                 1.6257,                 1.7043,              0.0011263,              0.0011263,              0.0011263
                     12,                  1.691,                 1.7175,                 1.7211,                0.62263,                0.57779,                0.59218,                0.29393,                  1.602,                 1.5808,                 1.6961,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.6691,                 1.6478,                 1.6953,                0.67257,                0.61597,                0.65971,                0.32374,                 1.6237,                 1.4921,                 1.6719,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.6506,                 1.6056,                 1.6862,                0.70615,                0.57306,                 0.6518,                0.33044,                 1.6122,                 1.5037,                 1.6375,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.6346,                 1.5484,                 1.6627,                0.67696,                0.62611,                0.68975,                0.33105,                 1.6973,                  1.449,                  1.704,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.6051,                 1.4581,                 1.6327,                0.75119,                0.65165,                0.73658,                 0.3775,                 1.5829,                 1.3809,                 1.6053,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.5866,                 1.4388,                 1.6285,                0.74516,                0.68352,                0.72808,                0.38241,                 1.5796,                 1.2924,                 1.5991,               0.001052,               0.001052,               0.001052
                     18,                 1.5715,                 1.3937,                 1.6015,                0.77657,                0.61074,                0.72439,                0.36955,                 1.6038,                 1.3035,                 1.6134,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.5593,                 1.3495,                 1.5869,                0.80873,                0.67862,                0.78862,                 0.4098,                 1.5382,                 1.2209,                 1.5529,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.5562,                 1.3661,                  1.599,                0.84833,                0.67382,                0.79044,                0.42172,                 1.5513,                 1.1514,                 1.5709,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.5393,                 1.3113,                 1.5739,                0.87688,                0.69583,                0.79971,                0.41974,                 1.5548,                 1.1338,                 1.5604,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.5259,                 1.2931,                 1.5696,                0.80252,                0.71656,                0.78168,                0.42289,                 1.5164,                 1.1628,                 1.5305,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.5152,                 1.2723,                 1.5504,                0.87872,                0.69794,                0.79539,                0.42874,                 1.5171,                 1.1263,                 1.5338,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.5183,                 1.2771,                 1.5507,                0.81507,                0.72703,                0.81553,                0.44362,                 1.4999,                 1.0647,                 1.5292,             0.00096537,             0.00096537,             0.00096537
                     25,                  1.495,                 1.2299,                 1.5323,                 0.8734,                0.74201,                0.83861,                0.46232,                 1.4565,                 1.0046,                 1.4922,               0.000953,               0.000953,               0.000953
                     26,                 1.4657,                 1.1776,                 1.5175,                0.87724,                0.71738,                 0.8207,                0.46972,                 1.4794,                 1.0192,                 1.4822,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.4608,                 1.1762,                 1.5142,                0.77632,                0.68274,                  0.772,                0.43067,                 1.4557,                 1.1513,                 1.4912,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.4542,                 1.1617,                 1.5081,                  0.808,                0.78012,                0.82523,                0.45838,                 1.4515,                 1.0465,                 1.4824,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.4312,                 1.1411,                 1.4956,                0.84628,                0.75845,                0.83861,                0.46542,                  1.452,                0.99559,                 1.4725,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.4285,                 1.1099,                 1.4927,                0.84496,                0.75011,                0.84469,                0.47607,                 1.4356,                0.99858,                 1.4552,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.4371,                 1.1026,                 1.4823,                0.80133,                0.75491,                0.83662,                0.47214,                 1.4327,                0.97189,                 1.4522,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.4051,                  1.084,                 1.4695,                0.88749,                0.72346,                0.85301,                0.48804,                 1.4159,                0.95907,                 1.4698,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.4162,                 1.0766,                  1.465,                0.90836,                0.73912,                0.84527,                0.48293,                 1.4248,                0.93644,                 1.4461,               0.000854,               0.000854,               0.000854
                     34,                 1.4106,                 1.0719,                  1.463,                0.88885,                0.78292,                0.86511,                 0.4935,                 1.4072,                0.90031,                 1.4359,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.3789,                  1.047,                 1.4525,                0.85854,                0.77372,                0.85829,                0.49473,                 1.3926,                0.88955,                 1.4129,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.3818,                 1.0268,                 1.4389,                0.87869,                0.78534,                0.87173,                0.50378,                  1.391,                 0.8785,                 1.4237,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.3763,                  1.027,                 1.4485,                0.86758,                0.77077,                0.87015,                0.49909,                 1.3994,                0.88859,                 1.4241,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.3618,                 1.0148,                 1.4338,                0.83577,                0.80273,                0.87301,                0.50894,                 1.3603,                0.85043,                 1.3998,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.3657,                 1.0088,                 1.4401,                0.82373,                0.82957,                0.88681,                0.51105,                 1.3923,                0.85033,                 1.4095,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.3514,                0.99507,                 1.4286,                 0.9067,                0.81544,                0.89341,                0.52527,                 1.3645,                0.83189,                 1.3953,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.3344,                 0.9792,                 1.4106,                0.90397,                0.81007,                0.89268,                0.53189,                 1.3574,                0.82554,                 1.4032,               0.000755,               0.000755,               0.000755
                     42,                  1.333,                0.97087,                 1.4062,                0.90127,                0.81594,                0.88396,                0.52622,                  1.336,                0.82278,                 1.3837,             0.00074263,             0.00074263,             0.00074263
                     43,                   1.32,                0.94757,                 1.4006,                0.85921,                 0.8196,                0.89033,                0.52891,                 1.3334,                0.84067,                 1.3816,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.3099,                0.95856,                 1.3955,                0.88337,                0.81254,                0.89843,                0.53056,                 1.3173,                0.79102,                 1.3796,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.3061,                 0.9335,                 1.3881,                0.84584,                0.83358,                0.89017,                0.52651,                 1.3246,                0.81918,                 1.3712,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.3055,                0.93687,                 1.3911,                0.89577,                0.79486,                0.88336,                0.52672,                 1.3429,                0.80515,                 1.3757,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.2908,                 0.9231,                 1.3778,                0.89007,                0.81614,                0.90557,                0.54751,                 1.3264,                0.80244,                 1.3634,             0.00068075,             0.00068075,             0.00068075
                     48,                  1.302,                0.91478,                 1.3897,                0.91075,                 0.8169,                 0.8893,                0.54444,                 1.3006,                0.74178,                 1.3566,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.2693,                0.89478,                 1.3731,                0.86565,                0.85841,                0.91187,                0.55317,                  1.318,                0.77394,                 1.3561,               0.000656,               0.000656,               0.000656
                     50,                 1.2756,                0.90474,                 1.3716,                 0.9101,                0.82996,                0.90178,                0.55184,                 1.3066,                0.75682,                 1.3398,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.2747,                0.89254,                 1.3718,                0.90724,                0.82759,                0.90255,                0.55521,                 1.2856,                0.75061,                 1.3391,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.2651,                0.89516,                 1.3662,                0.90784,                 0.8601,                0.92259,                0.56837,                 1.2862,                0.71704,                  1.336,             0.00061887,             0.00061887,             0.00061887
                     53,                  1.242,                0.86579,                 1.3392,                0.92369,                0.84036,                0.91917,                 0.5621,                 1.2801,                0.72104,                 1.3256,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.2563,                0.86847,                 1.3546,                0.87971,                0.85303,                0.91386,                0.56187,                 1.2535,                0.72802,                 1.3054,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.2457,                0.87493,                 1.3458,                0.89093,                0.81264,                0.90971,                0.55988,                 1.2754,                0.74288,                 1.3164,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.2327,                0.85696,                 1.3336,                0.90063,                0.85173,                0.92253,                0.57767,                 1.2302,                0.71794,                 1.3004,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.2223,                0.85407,                 1.3269,                0.92107,                0.81929,                0.92085,                 0.5699,                 1.2214,                0.71258,                 1.2926,               0.000557,               0.000557,               0.000557
                     58,                 1.2111,                0.83611,                  1.321,                0.88489,                0.83109,                0.91315,                 0.5771,                 1.2243,                0.69134,                 1.2915,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.2229,                0.85135,                 1.3332,                0.89534,                0.88039,                0.93342,                0.58763,                 1.2188,                0.67987,                 1.2903,             0.00053225,             0.00053225,             0.00053225
