                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.294,                0.91105,                 1.4368,                0.93002,                0.81099,                 0.9117,                0.53457,                 1.3036,                0.79411,                 1.4047,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.2771,                0.91317,                 1.4415,                0.92503,                0.85671,                0.92164,                0.54969,                 1.2867,                0.74331,                 1.4137,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.2694,                0.88593,                  1.418,                0.93168,                0.85271,                0.92698,                0.55537,                 1.3013,                0.71714,                 1.4008,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.2491,                0.86614,                 1.4179,                0.90767,                0.86669,                0.93065,                0.56454,                 1.2702,                0.71428,                  1.378,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.2686,                0.88288,                 1.4138,                0.89481,                 0.8403,                0.91108,                0.55882,                 1.2819,                0.73851,                 1.3895,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.2451,                0.87924,                 1.4158,                0.91576,                0.85566,                0.91802,                0.55183,                 1.2628,                0.72307,                 1.3748,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.2224,                0.86303,                  1.396,                0.90981,                0.87847,                0.92401,                0.55543,                 1.2558,                0.72223,                 1.3754,               0.000755,               0.000755,               0.000755
                     42,                 1.2396,                0.84304,                 1.3991,                0.92844,                0.87956,                0.93108,                0.56337,                 1.2862,                0.69771,                 1.3953,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.2143,                0.82924,                 1.3928,                0.91934,                0.85815,                0.93416,                 0.5713,                 1.2291,                0.69244,                 1.3471,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.2193,                0.84728,                  1.383,                0.92632,                0.87595,                0.92834,                0.57651,                 1.2165,                0.70451,                 1.3555,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.2044,                0.83182,                 1.3842,                0.91078,                 0.9059,                0.94114,                0.57739,                 1.2049,                0.69703,                 1.3328,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.1962,                0.81702,                 1.3763,                0.92972,                0.87129,                0.93679,                0.58249,                 1.2132,                0.68619,                 1.3464,             0.00069313,             0.00069313,             0.00069313
                     47,                   1.18,                0.81878,                 1.3554,                0.92428,                0.89183,                0.94727,                0.59475,                 1.1867,                0.64221,                 1.3173,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.1787,                0.79288,                 1.3661,                0.92776,                0.88442,                0.95005,                0.60655,                 1.1731,                0.65152,                 1.3135,             0.00066838,             0.00066838,             0.00066838
