                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4465,                  4.633,                 3.9049,                0.27103,                0.05915,                0.01262,                0.00377,                 2.8713,                 3.9457,                 3.2499,             0.00041443,             0.00041443,             0.00041443
                      2,                 2.6888,                 3.6028,                 2.8841,                0.47649,                 0.1499,                0.08847,                0.03349,                  2.428,                  3.448,                 2.9167,             0.00082424,             0.00082424,             0.00082424
                      3,                 2.3626,                 2.9588,                 2.4792,                0.26854,                0.27913,                0.17566,                0.06795,                 2.2234,                 2.5997,                  2.352,              0.0012272,              0.0012272,              0.0012272
                      4,                 2.1737,                 2.6391,                 2.2643,                0.29117,                0.27113,                0.25906,                0.10953,                 2.0146,                 2.8256,                  2.081,              0.0012191,              0.0012191,              0.0012191
                      5,                 1.9998,                 2.3637,                 2.0885,                0.43811,                0.43566,                0.35796,                0.16007,                 1.8583,                 2.1064,                 1.9456,              0.0012087,              0.0012087,              0.0012087
                      6,                 1.9131,                 2.1715,                 1.9743,                 0.5018,                0.46951,                0.44005,                0.21464,                 1.7579,                 2.0355,                 1.7947,              0.0011984,              0.0011984,              0.0011984
                      7,                 1.8533,                 2.0729,                 1.9079,                0.51087,                0.42153,                0.45109,                0.21028,                 1.8241,                 1.9238,                 1.8692,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.7896,                 1.9454,                 1.8267,                 0.4853,                 0.5388,                0.50642,                0.23601,                 1.7401,                 1.7569,                 1.7988,              0.0011778,              0.0011778,              0.0011778
                      9,                 1.7521,                 1.8636,                 1.7927,                0.56563,                0.53368,                 0.5347,                0.26371,                 1.7194,                 1.6795,                 1.7514,              0.0011675,              0.0011675,              0.0011675
                     10,                 1.7294,                 1.7912,                   1.78,                0.58547,                0.60616,                0.60195,                0.29567,                 1.6191,                   1.57,                 1.6548,              0.0011572,              0.0011572,              0.0011572
                     11,                 1.6892,                 1.6854,                 1.7353,                0.68743,                0.62925,                0.67773,                0.33283,                 1.6638,                 1.4231,                 1.6799,              0.0011469,              0.0011469,              0.0011469
                     12,                 1.6726,                 1.6491,                 1.7083,                0.69473,                0.55552,                0.66711,                0.32654,                 1.5982,                 1.4623,                 1.6359,              0.0011366,              0.0011366,              0.0011366
                     13,                 1.6482,                 1.5914,                  1.688,                0.73256,                0.59109,                0.68456,                0.34938,                  1.619,                 1.4181,                 1.6534,              0.0011263,              0.0011263,              0.0011263
                     14,                 1.6142,                  1.495,                 1.6716,                0.65769,                0.66869,                0.71096,                0.37385,                 1.5897,                 1.3342,                 1.6299,              0.0011159,              0.0011159,              0.0011159
                     15,                 1.5938,                 1.4709,                 1.6465,                0.83734,                0.66407,                0.76088,                0.40397,                 1.5471,                 1.2565,                 1.5988,              0.0011056,              0.0011056,              0.0011056
                     16,                 1.5963,                 1.4491,                 1.6465,                0.82149,                 0.6775,                0.76498,                0.39503,                 1.5523,                 1.2014,                 1.5805,              0.0010953,              0.0010953,              0.0010953
                     17,                 1.5604,                 1.3811,                 1.6204,                0.83383,                0.66648,                0.75759,                0.40131,                 1.5491,                 1.1753,                  1.583,               0.001085,               0.001085,               0.001085
                     18,                 1.5336,                 1.3593,                 1.5947,                0.80748,                0.70478,                0.78747,                 0.4262,                 1.5252,                 1.1338,                 1.5545,              0.0010747,              0.0010747,              0.0010747
                     19,                 1.5295,                 1.3186,                 1.5752,                0.81553,                0.70467,                0.78615,                0.42055,                 1.5054,                 1.1321,                 1.5421,              0.0010644,              0.0010644,              0.0010644
                     20,                 1.5325,                 1.3077,                 1.5813,                0.85945,                0.68796,                0.80353,                 0.4145,                 1.5835,                 1.1572,                 1.5951,              0.0010541,              0.0010541,              0.0010541
                     21,                 1.5162,                 1.2996,                 1.5813,                0.77858,                0.68266,                0.79249,                0.42988,                 1.5327,                 1.1676,                  1.557,              0.0010438,              0.0010438,              0.0010438
                     22,                 1.4976,                 1.2499,                 1.5507,                0.81737,                0.73261,                0.80898,                 0.4528,                 1.4731,                 1.0782,                 1.5319,              0.0010334,              0.0010334,              0.0010334
                     23,                 1.5036,                  1.234,                 1.5449,                0.83633,                 0.7512,                0.82603,                0.42641,                 1.5607,                 1.0806,                 1.5768,              0.0010231,              0.0010231,              0.0010231
                     24,                 1.4797,                 1.2193,                 1.5292,                0.84553,                0.75834,                0.81304,                0.44769,                 1.4666,                 1.0473,                 1.4945,              0.0010128,              0.0010128,              0.0010128
                     25,                 1.4708,                 1.2065,                 1.5229,                0.85228,                0.73392,                0.83341,                0.45508,                 1.4732,                 1.0242,                 1.5062,              0.0010025,              0.0010025,              0.0010025
                     26,                 1.4596,                 1.1712,                 1.5175,                0.88105,                0.74811,                0.83888,                0.47919,                 1.4358,                0.96332,                 1.4905,             0.00099219,             0.00099219,             0.00099219
                     27,                 1.4503,                 1.1501,                  1.507,                0.84411,                0.75787,                0.83344,                0.47142,                  1.414,                 0.9901,                 1.4499,             0.00098187,             0.00098187,             0.00098187
                     28,                 1.4323,                 1.1066,                 1.4821,                 0.8626,                0.75126,                0.83711,                0.47347,                  1.435,                 0.9906,                   1.47,             0.00097156,             0.00097156,             0.00097156
                     29,                 1.4312,                 1.1239,                 1.4917,                0.87261,                0.74816,                 0.8602,                0.48689,                 1.4242,                 0.9625,                 1.4662,             0.00096125,             0.00096125,             0.00096125
                     30,                 1.4283,                 1.1173,                  1.492,                0.88896,                0.74688,                0.85156,                0.49392,                 1.4148,                0.93132,                 1.4552,             0.00095094,             0.00095094,             0.00095094
                     31,                 1.4179,                 1.0895,                 1.4767,                0.87417,                0.78037,                0.85809,                0.49013,                 1.4274,                0.94253,                 1.4489,             0.00094062,             0.00094062,             0.00094062
                     32,                 1.4001,                 1.0821,                 1.4671,                0.88487,                0.74996,                0.86895,                0.48987,                 1.4156,                0.90585,                  1.435,             0.00093031,             0.00093031,             0.00093031
                     33,                  1.402,                 1.0688,                 1.4648,                0.88309,                0.74152,                0.85294,                0.49565,                 1.4017,                0.90259,                 1.4308,                0.00092,                0.00092,                0.00092
                     34,                 1.3991,                 1.0529,                 1.4575,                0.87846,                0.79452,                 0.8655,                0.50676,                  1.397,                0.88984,                  1.427,             0.00090969,             0.00090969,             0.00090969
                     35,                 1.3713,                 1.0353,                 1.4369,                0.89675,                0.81963,                0.87562,                 0.5094,                 1.4019,                0.87511,                 1.4338,             0.00089938,             0.00089938,             0.00089938
                     36,                 1.3594,                 1.0252,                  1.444,                0.92826,                0.79469,                0.89698,                 0.5163,                 1.3857,                0.83555,                 1.4156,             0.00088906,             0.00088906,             0.00088906
                     37,                 1.3518,                0.99905,                 1.4179,                0.88054,                0.82982,                0.87809,                 0.5015,                 1.3984,                0.85787,                 1.4147,             0.00087875,             0.00087875,             0.00087875
                     38,                 1.3442,                0.99671,                  1.427,                0.90105,                 0.8271,                0.89296,                0.52657,                 1.3496,                0.83038,                 1.3891,             0.00086844,             0.00086844,             0.00086844
                     39,                 1.3462,                0.99348,                 1.4096,                0.89358,                 0.8176,                0.89355,                0.51814,                 1.3904,                0.82352,                 1.4181,             0.00085813,             0.00085813,             0.00085813
                     40,                 1.3308,                0.99333,                 1.4205,                0.86567,                0.81514,                0.88644,                0.52884,                 1.3505,                0.81953,                 1.3773,             0.00084781,             0.00084781,             0.00084781
                     41,                 1.3238,                 0.9599,                 1.4038,                  0.889,                0.82053,                0.89071,                0.51593,                 1.3967,                0.83057,                 1.4048,              0.0008375,              0.0008375,              0.0008375
                     42,                 1.3376,                0.95955,                 1.4084,                0.85361,                0.80928,                0.87337,                0.51957,                 1.3642,                0.84897,                 1.3844,             0.00082719,             0.00082719,             0.00082719
                     43,                 1.3144,                0.95026,                 1.4039,                0.87022,                0.82093,                0.88153,                0.52852,                 1.3579,                0.81401,                 1.3896,             0.00081688,             0.00081688,             0.00081688
                     44,                 1.3191,                0.96508,                 1.3954,                0.91448,                0.82544,                0.89949,                0.53929,                 1.3249,                0.78212,                 1.3596,             0.00080656,             0.00080656,             0.00080656
                     45,                 1.3036,                0.93622,                 1.3964,                 0.8898,                  0.847,                0.90585,                0.54386,                 1.3073,                0.76714,                 1.3622,             0.00079625,             0.00079625,             0.00079625
                     46,                 1.3051,                0.92429,                 1.3877,                0.88212,                0.83384,                0.89357,                0.53924,                 1.3325,                0.76796,                 1.3661,             0.00078594,             0.00078594,             0.00078594
                     47,                 1.2843,                 0.9252,                  1.372,                0.89539,                0.83848,                0.90227,                0.54626,                 1.3047,                0.74817,                 1.3545,             0.00077563,             0.00077563,             0.00077563
                     48,                 1.2832,                0.90874,                 1.3769,                0.91139,                0.82752,                0.91269,                0.55949,                 1.2599,                0.74031,                 1.3309,             0.00076531,             0.00076531,             0.00076531
                     49,                 1.2735,                0.90039,                 1.3708,                0.90805,                0.83821,                0.91439,                 0.5562,                 1.2683,                0.73703,                 1.3358,               0.000755,               0.000755,               0.000755
                     50,                  1.266,                 0.9026,                 1.3688,                 0.8971,                0.84616,                0.90645,                0.56674,                  1.246,                0.74345,                 1.3183,             0.00074469,             0.00074469,             0.00074469
                     51,                 1.2613,                0.90045,                 1.3619,                0.90362,                0.84037,                0.90825,                 0.5734,                 1.2482,                0.70864,                 1.3069,             0.00073437,             0.00073437,             0.00073437
                     52,                 1.2532,                0.87467,                 1.3486,                0.92336,                0.85703,                0.90933,                0.57605,                  1.261,                0.70904,                  1.313,             0.00072406,             0.00072406,             0.00072406
                     53,                 1.2383,                0.87047,                 1.3483,                0.89683,                0.84155,                0.91148,                0.56611,                 1.2718,                0.71724,                 1.3203,             0.00071375,             0.00071375,             0.00071375
                     54,                 1.2371,                 0.8613,                 1.3397,                0.87487,                0.84193,                 0.9009,                0.56665,                 1.2573,                 0.7291,                 1.2939,             0.00070344,             0.00070344,             0.00070344
                     55,                 1.2421,                0.86415,                 1.3376,                0.86982,                0.87669,                0.90724,                0.56208,                 1.2598,                0.71294,                 1.3132,             0.00069313,             0.00069313,             0.00069313
                     56,                 1.2262,                0.85562,                 1.3364,                0.89189,                0.85702,                0.91258,                0.57496,                 1.2482,                0.70061,                 1.3021,             0.00068281,             0.00068281,             0.00068281
                     57,                  1.221,                0.85037,                 1.3243,                0.89983,                0.85334,                0.91645,                0.58462,                 1.2292,                0.69617,                 1.2805,              0.0006725,              0.0006725,              0.0006725
                     58,                 1.2302,                0.85369,                 1.3286,                0.89114,                0.83585,                0.91243,                0.57167,                 1.2353,                0.70199,                 1.2952,             0.00066219,             0.00066219,             0.00066219
                     59,                 1.2072,                0.83982,                 1.3237,                0.90009,                0.87505,                0.92766,                0.58697,                 1.2181,                0.68069,                 1.2777,             0.00065188,             0.00065188,             0.00065188
                     60,                 1.2113,                0.83038,                 1.3281,                0.91854,                0.85788,                0.92438,                0.58696,                 1.2368,                0.69114,                 1.2868,             0.00064156,             0.00064156,             0.00064156
                     61,                 1.1988,                 0.8163,                 1.3128,                0.88743,                0.85731,                0.91111,                0.58284,                 1.2122,                0.67564,                 1.2676,             0.00063125,             0.00063125,             0.00063125
                     62,                 1.1956,                0.81675,                 1.3101,                0.92772,                0.87017,                0.92625,                0.58808,                 1.2208,                0.67434,                 1.2672,             0.00062094,             0.00062094,             0.00062094
                     63,                 1.1899,                 0.8171,                 1.2966,                0.91421,                0.89241,                0.92549,                0.58483,                 1.1888,                0.66964,                 1.2529,             0.00061062,             0.00061062,             0.00061062
                     64,                 1.1908,                0.81667,                 1.3078,                0.91118,                0.85376,                 0.9201,                0.59259,                 1.1938,                0.67332,                  1.269,             0.00060031,             0.00060031,             0.00060031
                     65,                 1.1542,                0.78281,                 1.2865,                0.92188,                0.88034,                0.92696,                0.59852,                  1.191,                0.64549,                 1.2485,                0.00059,                0.00059,                0.00059
