                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3568,                 4.3541,                 3.7985,                0.04731,                0.12555,                0.01862,                0.00547,                 2.8083,                   5.49,                 3.5004,             0.00041443,             0.00041443,             0.00041443
                      2,                 2.5842,                 3.2386,                 2.8583,                0.08103,                0.31037,                0.06157,                0.02346,                 2.5773,                 8.9674,                 2.8243,             0.00082424,             0.00082424,             0.00082424
                      3,                  2.282,                 2.6983,                  2.451,                0.25399,                0.34852,                0.21561,                 0.0825,                 2.1024,                 2.4081,                 2.2714,              0.0012272,              0.0012272,              0.0012272
                      4,                 2.1048,                 2.4191,                 2.2429,                0.38863,                0.43865,                0.34842,                0.16084,                 1.9207,                 2.1903,                 2.0524,              0.0012191,              0.0012191,              0.0012191
                      5,                 1.9451,                 2.1639,                 2.0629,                0.44634,                0.40266,                0.36688,                0.16312,                 1.8977,                 2.1982,                 2.0042,              0.0012087,              0.0012087,              0.0012087
                      6,                 1.8443,                 1.9663,                 1.9596,                0.65535,                0.50075,                0.57958,                0.28425,                 1.7143,                 1.6538,                 1.8321,              0.0011984,              0.0011984,              0.0011984
                      7,                 1.7987,                 1.8328,                 1.9062,                0.48559,                 0.5167,                0.50502,                0.24381,                 1.7848,                 1.9248,                 1.9021,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.7294,                 1.7221,                 1.8367,                0.70586,                0.54214,                0.62567,                0.29315,                 1.7114,                  1.595,                 1.8014,              0.0011778,              0.0011778,              0.0011778
                      9,                 1.7098,                 1.6372,                 1.8072,                0.73767,                0.63281,                0.69934,                0.35876,                 1.6194,                  1.437,                 1.7077,              0.0011675,              0.0011675,              0.0011675
                     10,                 1.6645,                 1.5671,                 1.7699,                0.72239,                0.68771,                0.73934,                0.36876,                 1.6477,                 1.3287,                 1.7183,              0.0011572,              0.0011572,              0.0011572
                     11,                 1.6374,                 1.4799,                 1.7361,                0.80984,                  0.611,                0.70707,                 0.3609,                 1.6838,                 1.3707,                 1.7324,              0.0011469,              0.0011469,              0.0011469
                     12,                 1.6251,                 1.4481,                   1.71,                0.68177,                0.66666,                0.73388,                0.38323,                 1.5669,                 1.3674,                 1.6645,              0.0011366,              0.0011366,              0.0011366
                     13,                 1.5851,                 1.3776,                 1.6884,                  0.786,                 0.6901,                0.76608,                    0.4,                 1.5863,                 1.2236,                 1.6712,              0.0011263,              0.0011263,              0.0011263
                     14,                 1.5542,                 1.3309,                 1.6737,                0.86248,                0.69555,                0.81497,                0.42908,                 1.5437,                 1.1022,                 1.6082,              0.0011159,              0.0011159,              0.0011159
                     15,                 1.5356,                  1.286,                 1.6449,                0.83756,                0.68398,                0.80548,                0.42406,                 1.5337,                 1.1469,                 1.6085,              0.0011056,              0.0011056,              0.0011056
                     16,                 1.5247,                 1.2705,                 1.6306,                0.85116,                0.74613,                0.84046,                 0.4437,                 1.5124,                 1.0441,                 1.5894,              0.0010953,              0.0010953,              0.0010953
                     17,                 1.4939,                 1.2231,                  1.616,                0.80865,                0.75688,                 0.8185,                0.42495,                 1.5727,                   1.12,                 1.6285,               0.001085,               0.001085,               0.001085
                     18,                  1.478,                 1.2004,                 1.5964,                0.87236,                0.69864,                0.80932,                0.44469,                 1.5114,                 1.0553,                 1.5658,              0.0010747,              0.0010747,              0.0010747
                     19,                 1.4639,                 1.1647,                 1.5734,                0.87312,                0.73481,                0.84061,                0.46221,                 1.4871,                 1.0264,                 1.5684,              0.0010644,              0.0010644,              0.0010644
                     20,                 1.4618,                   1.16,                 1.5738,                0.90316,                0.74435,                0.83933,                0.45798,                 1.4624,                   1.04,                 1.5452,              0.0010541,              0.0010541,              0.0010541
                     21,                 1.4421,                 1.1343,                 1.5637,                0.86701,                0.74149,                0.85251,                0.47874,                 1.4184,                 1.0184,                 1.5062,              0.0010438,              0.0010438,              0.0010438
                     22,                   1.42,                 1.1023,                 1.5403,                0.89275,                0.75596,                0.85548,                0.46746,                 1.4621,                0.98872,                  1.542,              0.0010334,              0.0010334,              0.0010334
                     23,                 1.4408,                 1.0932,                 1.5437,                 0.8964,                0.80447,                0.86663,                 0.4951,                 1.4201,                0.96302,                 1.4912,              0.0010231,              0.0010231,              0.0010231
                     24,                 1.4069,                 1.0794,                 1.5264,                0.87861,                0.77722,                0.87457,                0.48855,                 1.4075,                0.95073,                 1.4944,              0.0010128,              0.0010128,              0.0010128
                     25,                 1.3974,                 1.0651,                 1.5193,                0.89426,                0.76232,                0.87249,                0.50162,                 1.4089,                0.88573,                 1.5012,              0.0010025,              0.0010025,              0.0010025
                     26,                 1.3817,                 1.0387,                 1.5069,                 0.9047,                0.79733,                 0.8909,                0.52395,                 1.3814,                0.89021,                 1.4751,             0.00099219,             0.00099219,             0.00099219
                     27,                 1.3722,                 1.0082,                 1.4965,                0.87867,                0.81752,                0.88266,                0.51573,                 1.3811,                0.84837,                 1.4683,             0.00098187,             0.00098187,             0.00098187
                     28,                   1.34,                0.98294,                 1.4694,                0.83784,                0.80704,                0.87277,                0.50163,                 1.3902,                 0.9223,                 1.4762,             0.00097156,             0.00097156,             0.00097156
                     29,                 1.3513,                0.99226,                 1.4752,                 0.8861,                0.81748,                0.88133,                0.51298,                 1.3667,                0.85085,                 1.4494,             0.00096125,             0.00096125,             0.00096125
                     30,                 1.3504,                0.99252,                 1.4897,                0.91597,                0.81119,                0.90677,                 0.5298,                 1.3731,                0.80329,                 1.4571,             0.00095094,             0.00095094,             0.00095094
                     31,                 1.3327,                0.95713,                 1.4675,                0.86173,                0.84794,                0.89913,                0.53287,                 1.3586,                0.80367,                 1.4398,             0.00094062,             0.00094062,             0.00094062
                     32,                 1.3097,                0.95696,                 1.4513,                0.90037,                0.84684,                0.91299,                 0.5313,                 1.3357,                0.80945,                 1.4233,             0.00093031,             0.00093031,             0.00093031
                     33,                 1.3066,                0.93575,                 1.4507,                0.92449,                0.80446,                0.89585,                0.53027,                 1.3429,                0.83889,                 1.4313,                0.00092,                0.00092,                0.00092
                     34,                 1.3225,                0.94835,                 1.4574,                0.90832,                0.85407,                0.92355,                0.54339,                 1.3302,                0.77518,                 1.4293,             0.00090969,             0.00090969,             0.00090969
                     35,                 1.2893,                0.92144,                 1.4281,                0.91313,                0.86227,                0.91876,                 0.5366,                 1.2981,                0.78557,                  1.408,             0.00089938,             0.00089938,             0.00089938
                     36,                 1.2786,                0.92143,                 1.4323,                0.90975,                0.84968,                0.92705,                0.55618,                 1.3016,                0.75639,                 1.4142,             0.00088906,             0.00088906,             0.00088906
                     37,                 1.2723,                0.88551,                 1.4113,                0.91884,                0.81423,                0.90721,                0.54142,                 1.3186,                0.76315,                 1.3957,             0.00087875,             0.00087875,             0.00087875
                     38,                 1.2534,                0.88916,                 1.4123,                0.90686,                0.85607,                 0.9091,                 0.5449,                 1.2982,                 0.7521,                 1.3923,             0.00086844,             0.00086844,             0.00086844
                     39,                 1.2587,                0.86906,                 1.3941,                0.89247,                0.84907,                 0.9123,                0.56127,                 1.2753,                0.74591,                 1.3862,             0.00085813,             0.00085813,             0.00085813
                     40,                 1.2375,                0.87845,                 1.4014,                0.90881,                 0.8648,                0.92528,                0.56843,                 1.2704,                0.72777,                 1.3705,             0.00084781,             0.00084781,             0.00084781
                     41,                 1.2264,                0.86323,                 1.3884,                0.90289,                0.89523,                0.94061,                0.56088,                 1.2669,                0.70575,                 1.3643,              0.0008375,              0.0008375,              0.0008375
                     42,                 1.2318,                0.84009,                  1.387,                0.92405,                0.88213,                0.92949,                0.56124,                 1.2774,                0.71209,                 1.3753,             0.00082719,             0.00082719,             0.00082719
                     43,                 1.2174,                0.82707,                 1.3861,                0.92366,                0.86401,                0.92363,                0.57582,                 1.2402,                0.69948,                 1.3496,             0.00081688,             0.00081688,             0.00081688
                     44,                 1.2231,                0.85212,                 1.3773,                0.92411,                0.89545,                0.94314,                0.56514,                 1.2417,                0.68783,                 1.3636,             0.00080656,             0.00080656,             0.00080656
                     45,                 1.2035,                 0.8258,                 1.3766,                0.90188,                0.87435,                0.93153,                0.57628,                 1.2261,                0.70896,                 1.3439,             0.00079625,             0.00079625,             0.00079625
                     46,                 1.2059,                0.82854,                  1.368,                0.91874,                0.88089,                0.93811,                0.57084,                 1.2327,                0.69463,                 1.3347,             0.00078594,             0.00078594,             0.00078594
                     47,                 1.1849,                0.81912,                 1.3504,                0.92825,                0.89949,                0.94049,                0.59247,                 1.2015,                0.65357,                 1.3258,             0.00077563,             0.00077563,             0.00077563
                     48,                 1.1892,                0.79732,                 1.3646,                0.92679,                0.90338,                0.94863,                0.59151,                 1.2132,                0.68044,                 1.3398,             0.00076531,             0.00076531,             0.00076531
                     49,                 1.1744,                 0.7984,                 1.3502,                0.92337,                0.90031,                0.94248,                0.59389,                 1.1937,                0.66797,                 1.3074,               0.000755,               0.000755,               0.000755
                     50,                 1.1689,                0.80945,                 1.3505,                0.93439,                0.89547,                0.94798,                0.60014,                  1.171,                0.65422,                 1.2946,             0.00074469,             0.00074469,             0.00074469
