                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1289,                 6.8269,                  3.732,                0.26898,                0.05067,                0.00634,                0.00185,                 3.1495,                 5.7211,                 2.9008,             0.00036876,             0.00036876,             0.00036876
                      2,                 2.8951,                 4.3757,                 2.5529,                0.15055,                0.11795,                0.05726,                0.02234,                 2.5233,                 3.4369,                 2.2401,             0.00073177,             0.00073177,             0.00073177
                      3,                 2.5015,                 3.2446,                 2.1268,                0.23863,                0.20608,                  0.115,                0.04902,                  2.216,                  3.681,                 1.9313,              0.0010875,              0.0010875,              0.0010875
                      4,                 2.2955,                 2.7674,                 1.9366,                0.32987,                0.23439,                 0.1658,                0.07039,                 2.1434,                 2.4184,                 1.8528,               0.001078,               0.001078,               0.001078
                      5,                 2.1659,                 2.5101,                 1.8424,                0.34246,                0.25992,                 0.1942,                0.08033,                 2.0579,                 2.3542,                  1.801,               0.001067,               0.001067,               0.001067
                      6,                  2.107,                   2.37,                 1.7789,                0.33973,                0.31907,                0.23897,                0.10599,                  1.948,                 2.1352,                 1.7045,               0.001056,               0.001056,               0.001056
                      7,                 2.0385,                 2.2283,                 1.7122,                0.39678,                0.32423,                0.26386,                 0.1227,                 1.9003,                 2.1119,                 1.6711,               0.001045,               0.001045,               0.001045
                      8,                 1.9913,                 2.0851,                 1.6792,                0.39479,                0.34598,                0.28302,                0.12925,                 1.8936,                 1.9651,                 1.6543,               0.001034,               0.001034,               0.001034
                      9,                 1.9661,                 2.0481,                 1.6623,                0.39174,                0.36425,                0.31614,                0.13434,                 1.9199,                 1.9072,                 1.6581,               0.001023,               0.001023,               0.001023
                     10,                 1.9275,                  1.976,                 1.6274,                0.46483,                0.37476,                0.32093,                0.14873,                 1.8157,                 1.8232,                 1.5941,               0.001012,               0.001012,               0.001012
                     11,                 1.8704,                 1.8933,                 1.5872,                0.46146,                0.41686,                0.37445,                0.17672,                 1.8029,                 1.6977,                 1.5773,               0.001001,               0.001001,               0.001001
                     12,                 1.8521,                 1.8608,                 1.5742,                0.46663,                0.41397,                0.38126,                0.17508,                 1.7957,                  1.705,                 1.5705,             0.00099001,             0.00099001,             0.00099001
                     13,                  1.845,                 1.8254,                 1.5621,                  0.499,                 0.4179,                0.38458,                0.17695,                 1.8357,                 1.7535,                 1.5599,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.8141,                 1.7696,                 1.5233,                0.51647,                0.42758,                0.40687,                0.19488,                 1.7624,                  1.612,                 1.5354,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.7937,                 1.7344,                 1.5058,                0.51868,                0.41664,                0.41385,                0.20059,                 1.7663,                 1.5747,                 1.5268,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.7829,                  1.707,                 1.4937,                0.53948,                0.43266,                0.42881,                0.20552,                 1.7321,                 1.5441,                 1.5055,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.7591,                 1.6447,                  1.481,                0.56065,                0.46171,                0.44787,                0.21767,                 1.7107,                  1.506,                  1.485,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.7394,                 1.6359,                 1.4695,                0.56065,                0.43404,                0.44421,                0.21468,                 1.7438,                   1.51,                 1.5198,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.7541,                 1.6229,                 1.4873,                0.58469,                0.44897,                0.46842,                0.22594,                 1.7016,                 1.5021,                 1.4844,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.7319,                 1.5725,                 1.4531,                0.60473,                0.47078,                0.48676,                0.23796,                 1.6913,                 1.4557,                 1.4686,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.7158,                  1.585,                 1.4501,                0.60652,                0.46316,                0.48494,                 0.2401,                 1.6389,                 1.4466,                 1.4495,             0.00089102,             0.00089102,             0.00089102
                     22,                    1.7,                 1.5585,                 1.4473,                0.55915,                0.48946,                0.48642,                0.23945,                 1.6975,                 1.4737,                 1.4792,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.7208,                 1.5302,                 1.4372,                0.61192,                0.47487,                0.49632,                 0.2383,                 1.6939,                  1.401,                 1.4674,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.6851,                  1.501,                 1.4403,                0.58403,                0.48069,                0.48986,                0.24891,                 1.6394,                 1.4017,                  1.454,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.6705,                 1.4691,                 1.4177,                0.60169,                0.51096,                0.52228,                 0.2623,                 1.6582,                 1.3305,                 1.4512,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.6788,                 1.4704,                 1.4111,                0.61182,                0.48627,                 0.5128,                0.25891,                 1.6297,                 1.3552,                 1.4411,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.6686,                 1.4493,                 1.4227,                0.64795,                0.49616,                0.52271,                0.26525,                 1.6413,                 1.3406,                 1.4429,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.6448,                 1.4107,                 1.4004,                0.59597,                0.49123,                 0.5143,                0.26656,                 1.6056,                 1.3404,                 1.4294,             0.00081403,             0.00081403,             0.00081403
                     29,                 1.6261,                 1.3917,                 1.3781,                0.65299,                0.50561,                0.53351,                0.27404,                 1.6056,                  1.295,                 1.4249,             0.00080303,             0.00080303,             0.00080303
                     30,                 1.6289,                 1.3894,                 1.3832,                0.67623,                0.50366,                0.54212,                0.27217,                  1.657,                 1.2955,                 1.4443,             0.00079203,             0.00079203,             0.00079203
                     31,                 1.6095,                  1.363,                  1.365,                0.66755,                 0.5293,                0.55903,                0.28235,                 1.6171,                  1.239,                 1.4238,             0.00078103,             0.00078103,             0.00078103
                     32,                 1.6269,                 1.3676,                 1.3775,                0.67125,                0.53555,                 0.5676,                0.29016,                 1.6182,                 1.2238,                 1.4213,             0.00077003,             0.00077003,             0.00077003
                     33,                 1.6168,                 1.3427,                 1.3683,                 0.6574,                0.54974,                0.57174,                0.29539,                 1.6029,                 1.1973,                 1.4106,             0.00075904,             0.00075904,             0.00075904
                     34,                 1.5892,                 1.3317,                   1.36,                0.66879,                0.54371,                0.57973,                0.30255,                 1.5886,                  1.194,                 1.4039,             0.00074804,             0.00074804,             0.00074804
                     35,                 1.5908,                 1.2991,                 1.3487,                 0.6878,                0.54101,                0.58093,                0.30226,                 1.5911,                  1.216,                 1.3966,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.5616,                 1.2773,                 1.3436,                0.66383,                0.53195,                0.57659,                 0.3008,                 1.6117,                  1.223,                 1.4222,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.5744,                  1.281,                 1.3572,                0.69407,                0.54272,                0.58416,                0.30335,                  1.603,                 1.1567,                 1.4127,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.5666,                 1.2414,                  1.341,                0.67866,                0.54385,                 0.5788,                0.30632,                 1.5713,                 1.2108,                 1.3901,             0.00070404,             0.00070404,             0.00070404
                     39,                  1.555,                 1.2713,                 1.3409,                0.70566,                0.55734,                0.60343,                0.31922,                   1.57,                 1.1333,                 1.3918,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.5525,                 1.2461,                 1.3324,                0.72001,                0.55451,                 0.6085,                0.32034,                 1.5684,                  1.128,                 1.3813,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.5466,                 1.2434,                 1.3288,                0.73198,                0.55334,                0.61544,                0.32371,                 1.5508,                  1.099,                 1.3788,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.5387,                 1.2321,                 1.3297,                0.69544,                0.56546,                0.60677,                0.31803,                 1.5627,                 1.1445,                 1.3799,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.5354,                 1.2206,                 1.3281,                0.73256,                0.56311,                 0.6153,                0.32496,                 1.5551,                 1.1043,                 1.3774,             0.00064905,             0.00064905,             0.00064905
                     44,                 1.5372,                 1.2152,                 1.3268,                0.69333,                0.56175,                0.60442,                0.31998,                 1.5611,                 1.1233,                 1.3837,             0.00063805,             0.00063805,             0.00063805
                     45,                 1.5294,                 1.2009,                 1.3172,                0.73716,                 0.5627,                 0.6182,                0.32879,                 1.5513,                 1.1074,                 1.3746,             0.00062705,             0.00062705,             0.00062705
                     46,                 1.5176,                 1.1724,                 1.3175,                0.72555,                0.56447,                0.62158,                0.33192,                 1.5514,                 1.0879,                 1.3865,             0.00061605,             0.00061605,             0.00061605
                     47,                 1.5232,                 1.1911,                 1.3117,                0.74512,                0.56568,                0.62353,                0.32935,                 1.5535,                 1.0959,                 1.3715,             0.00060505,             0.00060505,             0.00060505
                     48,                  1.501,                 1.1603,                  1.297,                0.72304,                0.60055,                0.63707,                0.33625,                 1.5505,                 1.0734,                 1.3714,             0.00059405,             0.00059405,             0.00059405
                     49,                    1.5,                 1.1491,                 1.2994,                0.75081,                0.58403,                0.64277,                0.33682,                 1.5414,                 1.0653,                 1.3786,             0.00058305,             0.00058305,             0.00058305
                     50,                 1.4889,                 1.1236,                 1.2972,                0.73934,                0.58609,                0.64202,                0.33982,                 1.5424,                 1.0452,                 1.3692,             0.00057205,             0.00057205,             0.00057205
                     51,                  1.492,                 1.1374,                 1.2863,                0.74341,                0.59047,                0.64528,                 0.3467,                 1.5251,                 1.0548,                 1.3598,             0.00056105,             0.00056105,             0.00056105
                     52,                 1.4879,                   1.14,                 1.2895,                0.73353,                0.58052,                0.64075,                0.34069,                 1.5366,                  1.069,                 1.3706,             0.00055006,             0.00055006,             0.00055006
                     53,                 1.4812,                 1.1327,                 1.2807,                0.75179,                0.59509,                0.65472,                0.34247,                 1.5518,                 1.0251,                 1.3791,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.4578,                 1.1018,                 1.2723,                0.75081,                0.58279,                0.63875,                0.34359,                  1.534,                 1.0505,                 1.3688,             0.00052806,             0.00052806,             0.00052806
                     55,                 1.4775,                 1.1321,                  1.283,                0.74488,                0.59356,                0.65139,                0.34523,                   1.54,                  1.029,                 1.3685,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.4527,                 1.0879,                 1.2722,                0.74735,                0.59493,                0.65065,                0.35065,                 1.5182,                 1.0177,                  1.362,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.4572,                 1.0908,                 1.2632,                 0.7286,                0.61119,                0.65429,                0.35513,                 1.5184,                 1.0198,                 1.3629,             0.00049506,             0.00049506,             0.00049506
                     58,                 1.4671,                 1.1076,                 1.2804,                0.76521,                0.59263,                 0.6598,                0.35531,                 1.5151,                 1.0012,                 1.3581,             0.00048406,             0.00048406,             0.00048406
                     59,                 1.4512,                 1.0693,                  1.267,                0.75846,                0.59311,                0.65143,                0.35631,                 1.5112,                 1.0113,                 1.3512,             0.00047306,             0.00047306,             0.00047306
                     60,                 1.4641,                 1.0728,                  1.265,                0.74703,                0.61402,                0.65901,                 0.3542,                 1.5194,                 1.0046,                  1.352,             0.00046206,             0.00046206,             0.00046206
                     61,                 1.4326,                 1.0548,                 1.2505,                0.76218,                0.61879,                0.66597,                0.35894,                 1.5108,                0.97921,                 1.3542,             0.00045107,             0.00045107,             0.00045107
                     62,                 1.4521,                 1.0639,                 1.2689,                0.76595,                0.60284,                0.66762,                0.35772,                 1.5173,                0.99785,                 1.3584,             0.00044007,             0.00044007,             0.00044007
                     63,                 1.4341,                  1.055,                 1.2576,                0.76297,                0.60631,                0.66578,                0.35758,                 1.5195,                0.99209,                 1.3598,             0.00042907,             0.00042907,             0.00042907
                     64,                 1.4264,                 1.0448,                 1.2503,                 0.7655,                0.61275,                0.66955,                0.36186,                 1.5029,                0.98619,                 1.3442,             0.00041807,             0.00041807,             0.00041807
                     65,                  1.421,                 1.0338,                 1.2452,                0.77395,                0.61294,                0.67157,                0.36401,                 1.5075,                0.96241,                 1.3512,             0.00040707,             0.00040707,             0.00040707
                     66,                 1.4092,                 1.0149,                 1.2434,                0.77635,                0.60601,                0.67553,                0.36505,                 1.5142,                0.96965,                 1.3514,             0.00039607,             0.00039607,             0.00039607
                     67,                 1.4147,                 1.0087,                 1.2466,                0.76519,                0.61592,                0.67364,                0.36659,                 1.5002,                0.97392,                 1.3381,             0.00038507,             0.00038507,             0.00038507
                     68,                 1.3942,                 0.9949,                 1.2257,                0.77814,                0.61782,                 0.6808,                0.37163,                  1.497,                 0.9579,                 1.3465,             0.00037407,             0.00037407,             0.00037407
                     69,                 1.3899,                0.99967,                 1.2375,                0.77546,                0.62831,                0.68071,                0.37118,                 1.4859,                 0.9448,                 1.3382,             0.00036307,             0.00036307,             0.00036307
                     70,                 1.3804,                0.99278,                 1.2234,                0.77663,                0.61549,                0.67321,                0.36597,                  1.499,                0.95987,                 1.3448,             0.00035208,             0.00035208,             0.00035208
                     71,                 1.3883,                0.98068,                 1.2277,                0.78333,                0.61812,                0.68087,                0.37202,                 1.4908,                0.94702,                  1.338,             0.00034108,             0.00034108,             0.00034108
                     72,                   1.39,                 0.9969,                  1.227,                0.76944,                 0.6201,                0.67717,                0.37077,                 1.4941,                0.95084,                 1.3369,             0.00033008,             0.00033008,             0.00033008
                     73,                 1.3788,                0.96687,                 1.2164,                0.79689,                0.61902,                0.68086,                0.37152,                 1.4833,                0.94825,                 1.3384,             0.00031908,             0.00031908,             0.00031908
                     74,                 1.3736,                0.94582,                 1.2171,                0.79173,                0.61738,                0.68296,                 0.3721,                 1.4887,                0.93553,                 1.3351,             0.00030808,             0.00030808,             0.00030808
                     75,                 1.3666,                0.96285,                 1.2159,                0.79659,                0.62266,                0.68519,                0.37228,                 1.4889,                0.93892,                 1.3343,             0.00029708,             0.00029708,             0.00029708
                     76,                 1.3563,                0.96422,                 1.2167,                0.79011,                0.62961,                0.68559,                0.37301,                 1.4949,                0.94163,                 1.3351,             0.00028608,             0.00028608,             0.00028608
                     77,                 1.3617,                0.95307,                 1.2094,                0.80697,                0.62013,                0.68794,                0.37374,                 1.4844,                 0.9299,                 1.3304,             0.00027508,             0.00027508,             0.00027508
                     78,                 1.3638,                0.95552,                 1.2178,                0.77948,                0.63336,                0.68373,                 0.3767,                 1.4792,                 0.9221,                 1.3313,             0.00026408,             0.00026408,             0.00026408
                     79,                 1.3403,                 0.9364,                 1.2079,                0.79778,                0.62722,                 0.6899,                0.37871,                  1.479,                0.92322,                 1.3319,             0.00025309,             0.00025309,             0.00025309
                     80,                 1.3573,                0.93218,                 1.2106,                0.80394,                0.62163,                0.68834,                0.37584,                  1.483,                 0.9175,                 1.3343,             0.00024209,             0.00024209,             0.00024209
                     81,                 1.3479,                0.92019,                 1.2001,                0.78914,                0.63244,                0.69211,                 0.3787,                 1.4823,                0.91446,                 1.3315,             0.00023109,             0.00023109,             0.00023109
                     82,                 1.3339,                0.92783,                 1.2063,                0.80077,                0.62667,                0.69014,                0.37569,                 1.4921,                0.92746,                 1.3339,             0.00022009,             0.00022009,             0.00022009
                     83,                 1.3348,                 0.9105,                 1.1905,                0.80924,                0.63492,                 0.6956,                0.38004,                 1.4848,                0.91734,                 1.3338,             0.00020909,             0.00020909,             0.00020909
                     84,                 1.3333,                0.91545,                 1.1888,                0.79717,                0.63432,                 0.6956,                0.37914,                 1.4853,                 0.9124,                 1.3331,             0.00019809,             0.00019809,             0.00019809
                     85,                 1.3279,                0.91386,                 1.1934,                0.80016,                0.63235,                0.69386,                0.37844,                 1.4928,                0.92086,                 1.3397,             0.00018709,             0.00018709,             0.00018709
                     86,                 1.3396,                0.92007,                 1.2094,                0.79813,                0.64427,                0.70134,                0.38038,                 1.4944,                0.91143,                 1.3401,             0.00017609,             0.00017609,             0.00017609
                     87,                 1.3184,                0.92614,                  1.189,                0.79717,                0.63736,                0.69684,                0.38081,                 1.4885,                0.91002,                 1.3339,             0.00016509,             0.00016509,             0.00016509
                     88,                 1.3274,                0.89809,                 1.2001,                0.80324,                0.63391,                0.69696,                0.38051,                 1.4883,                 0.9117,                  1.337,              0.0001541,              0.0001541,              0.0001541
